Year Month Day Hour Minute CPU_Power_Use_(W)
2023 8 24 12 0 75
2023 8 24 12 1 78
2023 8 24 12 2 74
2023 8 24 12 3 74
2023 8 24 12 4 74
2023 8 24 12 5 75
2023 8 24 12 6 83
2023 8 24 12 7 82
2023 8 24 12 9 89
2023 8 24 12 10 74
2023 8 24 12 11 75
2023 8 24 12 12 82
2023 8 24 12 13 75
2023 8 24 12 14 75
2023 8 24 12 15 74
2023 8 24 12 16 75
2023 8 24 12 17 77
2023 8 24 12 19 75
2023 8 24 12 20 90
2023 8 24 12 21 81
2023 8 24 12 23 74
2023 8 24 12 24 90
2023 8 24 12 25 75
2023 8 24 12 26 93
2023 8 24 12 27 94
2023 8 24 12 28 86
2023 8 24 12 29 104
2023 8 24 12 30 106
2023 8 24 12 31 79
2023 8 24 12 32 81
2023 8 24 12 33 82
2023 8 24 12 34 79
2023 8 24 12 35 79
2023 8 24 12 36 92
2023 8 24 12 37 80
2023 8 24 12 38 90
2023 8 24 12 39 77
2023 8 24 12 41 76
2023 8 24 12 42 77
2023 8 24 12 43 74
2023 8 24 12 44 74
2023 8 24 12 45 83
2023 8 24 12 46 77
2023 8 24 12 48 74
2023 8 24 12 49 74
2023 8 24 12 50 75
2023 8 24 12 51 90
2023 8 24 12 52 99
2023 8 24 12 53 75
2023 8 24 12 54 78
2023 8 24 12 55 76
2023 8 24 12 56 85
2023 8 24 12 57 78
2023 8 24 12 58 75
2023 8 24 12 59 106
2023 8 24 13 0 77
2023 8 24 13 1 75
2023 8 24 13 2 94
2023 8 24 13 3 81
2023 8 24 13 4 76
2023 8 24 13 6 80
2023 8 24 13 7 74
2023 8 24 13 8 75
2023 8 24 13 9 75
2023 8 24 13 11 76
2023 8 24 13 13 74
2023 8 24 13 14 74
2023 8 24 13 15 80
2023 8 24 13 16 76
2023 8 24 13 17 75
2023 8 24 13 20 74
2023 8 24 13 21 74
2023 8 24 13 22 74
2023 8 24 13 23 73
2023 8 24 13 24 75
2023 8 24 13 25 108
2023 8 24 13 26 74
2023 8 24 13 27 98
2023 8 24 13 28 98
2023 8 24 13 29 81
2023 8 24 13 30 84
2023 8 24 13 31 105
2023 8 24 13 32 110
2023 8 24 13 34 89
2023 8 24 13 35 87
2023 8 24 13 37 87
2023 8 24 13 38 84
2023 8 24 13 39 82
2023 8 24 13 40 84
2023 8 24 13 41 83
2023 8 24 13 43 91
2023 8 24 13 45 82
2023 8 24 13 46 84
2023 8 24 13 47 84
2023 8 24 13 48 84
2023 8 24 13 50 86
2023 8 24 13 51 82
2023 8 24 13 52 78
2023 8 24 13 53 80
2023 8 24 13 54 78
2023 8 24 13 55 84
2023 8 24 13 56 84
2023 8 24 13 57 78
2023 8 24 13 59 86
2023 8 24 14 0 78
2023 8 24 14 1 75
2023 8 24 14 2 74
2023 8 24 14 3 75
2023 8 24 14 4 75
2023 8 24 14 5 74
2023 8 24 14 6 75
2023 8 24 14 7 74
2023 8 24 14 8 80
2023 8 24 14 9 75
2023 8 24 14 10 75
2023 8 24 14 11 77
2023 8 24 14 12 74
2023 8 24 14 13 74
2023 8 24 14 14 74
2023 8 24 14 15 73
2023 8 24 14 16 74
2023 8 24 14 17 73
2023 8 24 14 18 73
2023 8 24 14 19 73
2023 8 24 14 20 74
2023 8 24 14 21 73
2023 8 24 14 22 74
2023 8 24 14 24 74
2023 8 24 14 25 75
2023 8 24 14 26 77
2023 8 24 14 27 75
2023 8 24 14 29 73
2023 8 24 14 30 74
2023 8 24 14 31 75
2023 8 24 14 32 76
2023 8 24 14 33 74
2023 8 24 14 34 86
2023 8 24 14 37 74
2023 8 24 14 38 76
2023 8 24 14 39 76
2023 8 24 14 40 82
2023 8 24 14 41 88
2023 8 24 14 42 81
2023 8 24 14 43 78
2023 8 24 14 44 80
2023 8 24 14 46 76
2023 8 24 14 47 80
2023 8 24 14 49 76
2023 8 24 14 50 76
2023 8 24 14 51 76
2023 8 24 14 52 76
2023 8 24 14 53 75
2023 8 24 14 54 77
2023 8 24 14 55 78
2023 8 24 14 56 86
2023 8 24 14 57 84
2023 8 24 14 58 90
2023 8 24 15 0 76
2023 8 24 15 1 79
2023 8 24 15 2 75
2023 8 24 15 3 85
2023 8 24 15 4 77
2023 8 24 15 5 98
2023 8 24 15 6 75
2023 8 24 15 7 76
2023 8 24 15 8 76
2023 8 24 15 9 78
2023 8 24 15 10 75
2023 8 24 15 11 82
2023 8 24 15 12 75
2023 8 24 15 13 78
2023 8 24 15 14 85
2023 8 24 15 15 80
2023 8 24 15 16 76
2023 8 24 15 17 75
2023 8 24 15 18 78
2023 8 24 15 19 77
2023 8 24 15 20 75
2023 8 24 15 21 86
2023 8 24 15 22 98
2023 8 24 15 23 107
2023 8 24 15 24 113
2023 8 24 15 25 89
2023 8 24 15 26 78
2023 8 24 15 27 86
2023 8 24 15 28 77
2023 8 24 15 29 98
2023 8 24 15 30 83
2023 8 24 15 31 78
2023 8 24 15 32 97
2023 8 24 15 35 86
2023 8 24 15 36 74
2023 8 24 15 37 76
2023 8 24 15 38 74
2023 8 24 15 39 81
2023 8 24 15 40 76
2023 8 24 15 42 116
2023 8 24 15 44 97
2023 8 24 15 45 78
2023 8 24 15 46 109
2023 8 24 15 47 79
2023 8 24 15 51 112
2023 8 24 15 53 114
2023 8 24 15 55 115
2023 8 24 15 57 116
2023 8 24 15 58 113
2023 8 24 15 59 115
2023 8 24 16 0 118
2023 8 24 16 1 115
2023 8 24 16 2 116
2023 8 24 16 3 113
2023 8 24 16 4 114
2023 8 24 16 5 112
2023 8 24 16 7 113
2023 8 24 16 8 113
2023 8 24 16 10 116
2023 8 24 16 11 77
2023 8 24 16 12 116
2023 8 24 16 15 117
2023 8 24 16 17 116
2023 8 24 16 18 76
2023 8 24 16 19 109
2023 8 24 16 21 112
2023 8 24 16 22 114
2023 8 24 16 23 114
2023 8 24 16 25 109
2023 8 24 16 26 117
2023 8 24 16 27 78
2023 8 24 16 28 114
2023 8 24 16 30 118
2023 8 24 16 32 114
2023 8 24 16 33 113
2023 8 24 16 34 117
2023 8 24 16 36 114
2023 8 24 16 38 108
2023 8 24 16 39 107
2023 8 24 16 41 112
2023 8 24 16 43 117
2023 8 24 16 44 118
2023 8 24 16 45 114
2023 8 24 16 46 115
2023 8 24 16 48 115
2023 8 24 16 49 117
2023 8 24 16 50 117
2023 8 24 16 51 117
2023 8 24 16 53 114
2023 8 24 16 54 117
2023 8 24 16 55 115
2023 8 24 16 56 115
2023 8 24 16 57 116
2023 8 24 16 58 117
2023 8 24 16 59 111
2023 8 24 17 1 115
2023 8 24 17 2 111
2023 8 24 17 3 114
2023 8 24 17 4 114
2023 8 24 17 5 115
2023 8 24 17 6 114
2023 8 24 17 7 112
2023 8 24 17 10 118
2023 8 24 17 13 114
2023 8 24 17 14 117
2023 8 24 17 15 116
2023 8 24 17 16 114
2023 8 24 17 18 115
2023 8 24 17 19 117
2023 8 24 17 20 115
2023 8 24 17 21 109
2023 8 24 17 22 112
2023 8 24 17 24 116
2023 8 24 17 25 116
2023 8 24 17 26 114
2023 8 24 17 28 109
2023 8 24 17 30 113
2023 8 24 17 33 116
2023 8 24 17 34 117
2023 8 24 17 37 113
2023 8 24 17 38 114
2023 8 24 17 39 114
2023 8 24 17 41 117
2023 8 24 17 42 114
2023 8 24 17 43 115
2023 8 24 17 44 114
2023 8 24 17 45 117
2023 8 24 17 46 116
2023 8 24 17 47 112
2023 8 24 17 48 116
2023 8 24 17 49 114
2023 8 24 17 50 77
2023 8 24 17 51 116
2023 8 24 17 52 116
2023 8 24 17 53 115
2023 8 24 17 54 114
2023 8 24 17 57 117
2023 8 24 17 58 110
2023 8 24 17 59 76
2023 8 24 18 0 112
2023 8 24 18 1 118
2023 8 24 18 2 117
2023 8 24 18 6 117
